19,14,B,Chicago,,Male,$453.495,2019-02-07,Ewallet,8.2
20,15,C,San Diego,,Female,$749.49,2019-03-29,Cash,5.7
21,16,B,New York,,Female,$590.436,2019-01-15,Cash,4.5
22,17,B,Los Angeles,,Female,$506.6355,2019-03-11,Credit card,4.6
23,18,C,Houston,33.0,Male,$457.443,2019-01-01,Credit card,6.9
24,19,C,Phoenix,54.0,Male,$172.2105,2019-01-21,Credit card,8.6
25,16,B,New York,,Female,$590.436,2019-01-15,Cash,4.5
26,17,B,Los Angeles,,Female,$506.6355,2019-03-11,Credit card,4.6
27,18,C,Houston,33.0,Male,$457.443,2019-01-01,Credit card,6.9
28,19,C,Phoenix,54.0,Male,$172.2105,2019-01-21,Credit card,8.6
